"","id","county","tot_pop","non_wa_percentage"
"229","0500000US06085","Santa Clara County, California",1932510,0.683003968931597
"230","0500000US06087","Santa Cruz County, California",274856,0.424804261140379
"231","0500000US06089","Shasta County, California",179384,0.200313294385229
"232","0500000US06091","Sierra County, California",3002,0.157894736842105
"233","0500000US06093","Siskiyou County, California",43622,0.236600797762597
"234","0500000US06095","Solano County, California",443511,0.616893380322021
"235","0500000US06097","Sonoma County, California",502469,0.362724864618514
"236","0500000US06099","Stanislaus County, California",544717,0.580194853474373
"237","0500000US06101","Sutter County, California",96204,0.537732318822502
"238","0500000US06103","Tehama County, California",63847,0.317368083073598
"239","0500000US06105","Trinity County, California",12726,0.175231808895175
"240","0500000US06107","Tulare County, California",462308,0.7126634191924
"241","0500000US06109","Tuolumne County, California",53976,0.197865718096932
"242","0500000US06111","Ventura County, California",849044,0.54454657238023
"243","0500000US06113","Yolo County, California",218477,0.532527451402207
"244","0500000US06115","Yuba County, California",76578,0.447530622371961
"245","0500000US08001","Adams County, Colorado",503590,0.498085744355527
"246","0500000US08003","Alamosa County, Colorado",16108,0.51620312888006
"247","0500000US08005","Arapahoe County, Colorado",644478,0.395510785472894
"248","0500000US08007","Archuleta County, Colorado",13295,0.232267769838285
"249","0500000US08009","Baca County, Colorado",3554,0.151097355092853
"250","0500000US08011","Bent County, Colorado",5827,0.4371031405526
"251","0500000US08013","Boulder County, Colorado",322441,0.222654687214095
"252","0500000US08014","Broomfield County, Colorado",68263,0.230212560244935
"253","0500000US08015","Chaffee County, Colorado",19666,0.14812366520899
"254","0500000US08017","Cheyenne County, Colorado",1853,0.160280626011873
"255","0500000US08019","Clear Creek County, Colorado",9574,0.115103405055358
"256","0500000US08021","Conejos County, Colorado",8139,0.553139206290699
"257","0500000US08023","Costilla County, Colorado",3756,0.66986155484558
"258","0500000US08025","Crowley County, Colorado",5840,0.4625
"259","0500000US08027","Custer County, Colorado",4857,0.0980028824377187
"260","0500000US08029","Delta County, Colorado",30519,0.185982502703234
"261","0500000US08031","Denver County, Colorado",704961,0.456403971283518
"262","0500000US08033","Dolores County, Colorado",2045,0.123716381418093
"263","0500000US08035","Douglas County, Colorado",335816,0.173913690830693
"264","0500000US08037","Eagle County, Colorado",54929,0.328733455915819
"265","0500000US08039","Elbert County, Colorado",25765,0.112555792742092
"266","0500000US08041","El Paso County, Colorado",700099,0.306302394375653
"267","0500000US08043","Fremont County, Colorado",47548,0.209577689913351
"268","0500000US08045","Garfield County, Colorado",59032,0.316455481772598
"269","0500000US08047","Gilpin County, Colorado",6018,0.122964440013293
"270","0500000US08049","Grand County, Colorado",15364,0.123535537620411
