"","id","county","non_wa_percentage","tot_pop","num_HH","median_HH_income","five_mg_percentage","ten_mg_percentage"
"87","0500000US12107","Putnam County, Florida",0.285034884988553,73384,30866,42899,0.0422764227642276,NA
"88","0500000US12109","St. Johns County, Florida",0.171564222197601,243693,94761,90356,0.0421940928270042,NA
"89","0500000US12111","St. Lucie County, Florida",0.425276932460093,313163,116900,58039,0.014050901378579,0.00265111346765642
"90","0500000US12113","Santa Rosa County, Florida",0.173238570747318,174049,66187,64930,NA,NA
"91","0500000US12115","Sarasota County, Florida",0.167093976362943,419680,187411,66342,0.0148317170564746,NA
"92","0500000US12117","Seminole County, Florida",0.395027236328357,462801,181142,70190,0.0363636363636364,NA
"93","0500000US12119","Sumter County, Florida",0.147269890795632,124995,59458,60287,0.0194647201946472,NA
"94","0500000US12127","Volusia County, Florida",0.281392460603717,537868,219451,53766,0.0341839191141069,NA
"95","0500000US12131","Walton County, Florida",0.157760103497449,68021,26475,60457,NA,NA
"96","0500000US13013","Barrow County, Georgia",0.283374947717969,78899,27765,69890,NA,NA
"97","0500000US13015","Bartow County, Georgia",0.224228815010752,105098,39742,59911,NA,NA
"98","0500000US13021","Bibb County, Georgia",0.616389688563203,152840,56726,42140,0.0319148936170213,0.00967117988394584
"99","0500000US13031","Bulloch County, Georgia",0.36339829716677,75991,28660,50436,NA,NA
"100","0500000US13045","Carroll County, Georgia",0.289666922225062,117390,42798,61133,0.00625,NA
"101","0500000US13047","Catoosa County, Georgia",0.091134671779833,66495,24130,61487,NA,NA
"102","0500000US13051","Chatham County, Georgia",0.513831232350186,289309,107987,57611,0.010290986515259,0.00248403122782115
"103","0500000US13057","Cherokee County, Georgia",0.210055577305732,247763,93441,86404,0.00459418070444104,NA
"104","0500000US13059","Clarke County, Georgia",0.449158222607736,126815,52124,39799,NA,NA
"105","0500000US13063","Clayton County, Georgia",0.899322270078541,284184,97030,51093,0.00394607037158829,NA
"106","0500000US13067","Cobb County, Georgia",0.478294663249403,752649,286952,79601,0.00193730186685453,NA
"107","0500000US13073","Columbia County, Georgia",0.312006282625768,151529,46890,88761,NA,NA
"108","0500000US13077","Coweta County, Georgia",0.288684135156092,143153,53640,78423,NA,NA
"109","0500000US13089","DeKalb County, Georgia",0.70728298028691,751176,289829,63652,0.00165380374862183,NA
"110","0500000US13095","Dougherty County, Georgia",0.746749835116313,89457,32630,35062,0.00606060606060606,NA
"111","0500000US13097","Douglas County, Georgia",0.593097868541457,143376,48899,62669,0.00458015267175573,NA
"112","0500000US13113","Fayette County, Georgia",0.375467557506242,112553,41253,92172,NA,NA
"113","0500000US13115","Floyd County, Georgia",0.286574358974359,97500,35443,50880,NA,NA
"114","0500000US13117","Forsyth County, Georgia",0.281292041582948,228940,81765,112108,NA,NA
"115","0500000US13121","Fulton County, Georgia",0.600517066465949,1038938,439578,80013,0.00321998969603297,NA
"116","0500000US13127","Glynn County, Georgia",0.361369943903159,84675,34614,59004,NA,NA
"117","0500000US13135","Gwinnett County, Georgia",0.624870124353889,918186,301471,72109,0.00243341895362985,NA
"118","0500000US13139","Hall County, Georgia",0.390599789900127,198953,65625,67467,0.00326370757180157,NA
"119","0500000US13151","Henry County, Georgia",0.562660425788917,225182,79550,71939,NA,NA
"120","0500000US13153","Houston County, Georgia",0.43577107348468,153202,58417,66740,0.00337837837837838,NA
"121","0500000US13157","Jackson County, Georgia",0.180444680976879,67644,25180,65063,NA,NA
"122","0500000US13185","Lowndes County, Georgia",0.46045197740113,115404,42639,45683,NA,NA
"123","0500000US13215","Muscogee County, Georgia",0.595436348253162,193836,73134,46934,0.00546946216955333,NA
"124","0500000US13217","Newton County, Georgia",0.533603471616935,107846,37867,57254,NA,NA
"125","0500000US13223","Paulding County, Georgia",0.287281595395871,159509,56476,75800,NA,NA
"126","0500000US13245","Richmond County, Georgia",0.650855592964849,201673,68361,44973,0.0065359477124183,NA
"127","0500000US13247","Rockdale County, Georgia",0.68279109112563,89843,32792,60560,NA,NA
"128","0500000US13255","Spalding County, Georgia",0.414012056672481,65358,25339,51677,NA,NA
"129","0500000US13285","Troup County, Georgia",0.436013816334104,70062,24436,46198,NA,NA
"130","0500000US13295","Walker County, Georgia",0.0896244873114103,68999,26760,47856,NA,NA
"131","0500000US13297","Walton County, Georgia",0.250208114265685,91296,33350,66176,NA,NA
"132","0500000US13313","Whitfield County, Georgia",0.414883819099334,104234,34518,52198,NA,NA
"133","0500000US17001","Adams County, Illinois",0.0817021663109133,66057,26993,55727,0.0459882583170254,0.0117416829745597
"134","0500000US17019","Champaign County, Illinois",0.327147439705358,210425,81764,52405,NA,NA
"135","0500000US17031","Cook County, Illinois",0.575738330544351,5200821,1985613,69429,0.0480090369951991,0.0196978254730302
"136","0500000US17037","DeKalb County, Illinois",0.230143132423856,104309,39330,64131,0.0159529806884971,NA
"137","0500000US17043","DuPage County, Illinois",0.329723250901625,930265,342195,96403,0.00626204238921002,0.00289017341040462
"138","0500000US17089","Kane County, Illinois",0.427976673580425,532272,182223,84368,0.0141169403283941,0.00470564677613136
"139","0500000US17091","Kankakee County, Illinois",0.279627284240999,110540,39583,60923,0.0167448091091762,0.00602813127930342
"140","0500000US17093","Kendall County, Illinois",0.303736762001395,126152,41364,104858,0.00970873786407767,NA
"141","0500000US17097","Lake County, Illinois",0.382303996583508,702475,247661,92511,0.0116976166106156,0.00350928498318468
"142","0500000US17099","LaSalle County, Illinois",0.145125978362008,109622,45411,59130,0.0443121693121693,0.0178571428571429
"143","0500000US17111","McHenry County, Illinois",0.187885580624726,307815,112669,88879,0.0046265697290152,NA
"144","0500000US17113","McLean County, Illinois",0.204012642254304,172754,65118,68784,0.0168302945301543,0.00420757363253857
"145","0500000US17115","Macon County, Illinois",0.236188199129024,105399,42741,50839,0.0283062645011601,0.0139211136890951
"146","0500000US17119","Madison County, Illinois",0.149179456439372,265251,108104,67440,0.0190677966101695,0.00677966101694915
"147","0500000US17143","Peoria County, Illinois",0.29955348582386,182525,73666,57247,0.0895208004212744,0.028436018957346
"148","0500000US17161","Rock Island County, Illinois",0.281725394220875,143828,60618,58313,0.022674687644609,0.011105969458584
"149","0500000US17163","St. Clair County, Illinois",0.381919268849962,262600,106156,57169,0.00840941854877463,0.00336376741950985
"150","0500000US17167","Sangamon County, Illinois",0.195928391653812,197072,83263,61280,0.0220492866407263,0.00907911802853437
"151","0500000US17179","Tazewell County, Illinois",0.0600573830053412,133489,53127,65848,0.102473498233216,0.0459363957597173
"152","0500000US17183","Vermilion County, Illinois",0.217997399889302,77689,31154,43111,0.0280296784830998,0.0090684253915911
"153","0500000US17197","Will County, Illinois",0.36223114678361,690479,230136,90134,0.00699504517633343,0.00320606237248616
"154","0500000US17199","Williamson County, Illinois",0.102089516622172,67049,27650,58097,NA,NA
"155","0500000US17201","Winnebago County, Illinois",0.307684741868969,284681,114833,59455,0.0323184215002551,0.00850484776322504
"156","0500000US18003","Allen County, Indiana",0.259322129650304,371723,146280,56519,NA,NA
"157","0500000US18005","Bartholomew County, Indiana",0.178913310546994,82213,30383,72555,0.0170827858081472,NA
"158","0500000US18011","Boone County, Indiana",0.0934071786132709,65723,26803,70813,NA,NA
"159","0500000US18019","Clark County, Indiana",0.165498305375606,116545,43704,59064,0.00481430536451169,NA
"160","0500000US18035","Delaware County, Indiana",0.131084809884942,115246,45640,45065,0.0284301606922126,0.00988875154511743
"161","0500000US18039","Elkhart County, Indiana",0.249581280546931,204194,68553,54531,0.0194479297365119,NA
"162","0500000US18043","Floyd County, Indiana",0.119938706074851,77006,28544,63219,NA,NA
"163","0500000US18053","Grant County, Indiana",0.150757861398085,66305,27127,47206,0.00753295668549906,NA
"164","0500000US18057","Hamilton County, Indiana",0.161538151876705,322933,125328,105062,NA,NA
"165","0500000US18059","Hancock County, Indiana",0.075082002186725,74998,28985,69392,NA,NA
"166","0500000US18063","Hendricks County, Indiana",0.15357348033883,163622,61105,85381,NA,NA
"167","0500000US18067","Howard County, Indiana",0.146344726918866,82210,34151,53440,NA,NA
"168","0500000US18081","Johnson County, Indiana",0.107970354960343,153820,57160,73651,0.00997506234413965,NA
"169","0500000US18085","Kosciusko County, Indiana",0.116075721914307,79026,30991,64099,0.0135135135135135,NA
"170","0500000US18089","Lake County, Indiana",0.457256588409846,484601,190135,57081,0.013986013986014,0.00445009535918627
"171","0500000US18091","LaPorte County, Indiana",0.207179403142696,109842,43100,56019,NA,NA
"172","0500000US18095","Madison County, Indiana",0.150419570693412,129418,51164,55142,0.0113141862489121,NA
"173","0500000US18097","Marion County, Indiana",0.445204131980133,950537,379451,50458,0.0377522869173806,0.0098736750399303
"174","0500000US18105","Monroe County, Indiana",0.163218265388235,146638,54053,52453,NA,NA
"175","0500000US18109","Morgan County, Indiana",0.0389867178656885,69793,25863,62862,NA,NA
"176","0500000US18127","Porter County, Indiana",0.166930769459034,168495,65305,72483,0.00769230769230769,NA
"177","0500000US18141","St. Joseph County, Indiana",0.27177595840878,270057,105250,53456,0.0294934073560028,0.0100624566273421
"178","0500000US18157","Tippecanoe County, Indiana",0.239316105209755,191199,73916,49352,0.016109785202864,0.00775656324582339
"179","0500000US18163","Vanderburgh County, Indiana",0.163140908739238,180954,75522,51350,0.0234848484848485,0.00984848484848485
"180","0500000US18167","Vigo County, Indiana",0.142968699160539,107569,42193,48013,0.0179487179487179,0.00512820512820513
"181","0500000US19013","Black Hawk County, Iowa",0.187328906970765,132238,51869,60506,0.0690571049136786,0.0132802124833997
"182","0500000US19049","Dallas County, Iowa",0.144069351435648,87208,36878,94885,NA,NA
"183","0500000US19061","Dubuque County, Iowa",0.0940803164856902,97066,38345,62178,0.882978723404255,0.0106382978723404
"184","0500000US19103","Johnson County, Iowa",0.21542273564373,149325,60782,66011,0.00575079872204473,NA
"185","0500000US19113","Linn County, Iowa",0.139763525107073,224379,93843,63559,0.0607718894009217,0.00432027649769585
"186","0500000US19153","Polk County, Iowa",0.223227683579368,480487,197731,66918,0.00901117385558092,0.00276342664904482
"187","0500000US19155","Pottawattamie County, Iowa",0.122741286289287,93416,37344,60056,0.0128388017118402,0.00998573466476462
"188","0500000US19163","Scott County, Iowa",0.199022313972908,172448,68534,65122,0.0295942720763723,0.0119331742243437
"189","0500000US19169","Story County, Iowa",0.162616418923086,97278,39168,63107,0.0081537565521258,NA
"190","0500000US19193","Woodbury County, Iowa",0.268055065993029,102132,39733,58945,0.0290344361917623,0.012153950033761
"191","0500000US20015","Butler County, Kansas",0.110569227316927,66845,25004,61951,NA,NA
"192","0500000US20045","Douglas County, Kansas",0.215378987537516,120281,48508,64233,NA,NA
"193","0500000US20091","Johnson County, Kansas",0.199509559364457,591305,231960,91771,0.00602409638554217,NA
"194","0500000US20103","Leavenworth County, Kansas",0.211604137641939,81109,27860,77070,0.0198473282442748,NA
"195","0500000US20161","Riley County, Kansas",0.23101774875975,73977,25662,50920,0.029810298102981,NA
"196","0500000US20173","Sedgwick County, Kansas",0.31762592171107,513176,199517,59716,0.0142036869144757,0.00362647325475975
"197","0500000US20177","Shawnee County, Kansas",0.25973850923305,178056,73172,59441,0.0442086648983201,0.00795755968169761
"198","0500000US20209","Wyandotte County, Kansas",0.589640613736999,165087,61248,46964,0.0268872802481903,0.0062047569803516
"199","0500000US21015","Boone County, Kentucky",0.12201417313214,130952,48770,76443,NA,NA
"200","0500000US21029","Bullitt County, Kentucky",0.0541803186784438,80269,30553,65560,NA,NA
"201","0500000US21037","Campbell County, Kentucky",0.0763474665690476,92878,38110,66439,0.0687022900763359,NA
"202","0500000US21047","Christian County, Kentucky",0.343954156341518,71024,26209,47445,NA,NA
"203","0500000US21059","Daviess County, Kentucky",0.11857337673326,100461,40800,50964,NA,NA
"204","0500000US21067","Fayette County, Kentucky",0.287137692412816,321964,131929,58356,0.0116086235489221,NA
"205","0500000US21093","Hardin County, Kentucky",0.23976294597868,108161,42644,57463,NA,NA
"206","0500000US21111","Jefferson County, Kentucky",0.324324394540079,769828,316174,59049,NA,NA
"207","0500000US21117","Kenton County, Kentucky",0.115199748804406,165608,65362,68849,0.036144578313253,0.0103270223752151
"208","0500000US21145","McCracken County, Kentucky",0.165687534422618,65364,28363,45084,NA,NA
"209","0500000US21151","Madison County, Kentucky",0.103202807941209,91170,34270,49421,NA,NA
"210","0500000US21185","Oldham County, Kentucky",0.117763721321574,66557,20761,97968,NA,NA
"211","0500000US21227","Warren County, Kentucky",0.214667555045943,129074,50489,52645,NA,NA
"212","0500000US22005","Ascension Parish, Louisiana",0.313061691711927,123177,44267,85425,NA,NA
"213","0500000US22015","Bossier Parish, Louisiana",0.330917855370631,126959,49735,49962,NA,NA
"214","0500000US22017","Caddo Parish, Louisiana",0.550978917193567,245935,92589,45537,0.0137090632140137,0.00837776085300838
