"","id","county","non_wa_percentage","tot_pop","median_HH_income","five_mg_percentage","ten_mg_percentage","score"
"94","0500000US26091","Lenawee County, Michigan",0.132910685076249,98427,53865,0.0340909090909091,0.0113636363636364,0.0399584067706417
"95","0500000US22079","Rapides Parish, Louisiana",0.387846373035283,131253,50490,0.0309278350515464,0,0.0396388972856407
"96","0500000US36089","St. Lawrence County, New York",0.0794303535451109,108699,52108,0.05,0.00970149253731343,0.0390044843575665
"97","0500000US36105","Sullivan County, New York",0.277835560178148,74994,60137,0.026890756302521,0.00756302521008403,0.0382668528536272
"98","0500000US19163","Scott County, Iowa",0.199022313972908,172448,65122,0.0295942720763723,0.0119331742243437,0.0380543841908467
"99","0500000US36015","Chemung County, New York",0.136105079305136,84736,60782,0.0335616438356164,0.013013698630137,0.0375816743005888
"100","0500000US25013","Hampden County, Massachusetts",0.372123453886531,467705,60161,0.0266169642273233,0.0045124583088091,0.0375523081829202
"101","0500000US17001","Adams County, Illinois",0.0817021663109133,66057,55727,0.0459882583170254,0.0117416829745597,0.0370259424936861
"102","0500000US28075","Lauderdale County, Mississippi",0.473640068668178,76309,37497,0.0191693290734824,0,0.0365579769860562
"103","0500000US34033","Salem County, New Jersey",0.256698948841499,62883,68531,0.028604118993135,0.0091533180778032,0.0360366944546598
"104","0500000US42071","Lancaster County, Pennsylvania",0.179405614299543,541332,67376,0.0335549224438113,0.0107628996517885,0.0359799007066791
"105","0500000US40037","Creek County, Oklahoma",0.238600639866463,71890,54969,0.038961038961039,0,0.0359746057026517
"106","0500000US01073","Jefferson County, Alabama",0.500554124551432,659599,53944,0.0168032786885246,0.00471311475409836,0.035745392525118
"107","0500000US12105","Polk County, Florida",0.407171038040877,685368,51833,0.0239963779052219,0.00196196800482946,0.0357149410852357
"108","0500000US12055","Highlands County, Florida",0.3285252089512,103852,48698,0.0288784419073203,0,0.035317872136947
"109","0500000US18163","Vanderburgh County, Indiana",0.163140908739238,180954,51350,0.0234848484848485,0.00984848484848485,0.0352930720263913
"110","0500000US55101","Racine County, Wisconsin",0.27899399974467,195825,60779,0.0242090784044016,0.00742778541953232,0.0352756770330073
"111","0500000US12083","Marion County, Florida",0.293536801768274,353339,49576,0.031055900621118,0,0.0352656157795647
"112","0500000US42125","Washington County, Pennsylvania",0.0771507907762888,207075,65431,0.0512367491166078,0.0141342756183746,0.0350695556409937
"113","0500000US12127","Volusia County, Florida",0.281392460603717,537868,53766,0.0341839191141069,0,0.0350443412253602
"114","0500000US42041","Cumberland County, Pennsylvania",0.141464276535595,249024,75391,0.0443037974683544,0.0116033755274262,0.0349963758062338
"115","0500000US42001","Adams County, Pennsylvania",0.108773229851212,102562,67715,0.0449069003285871,0.0120481927710843,0.0349215449317454
"116","0500000US42045","Delaware County, Pennsylvania",0.330737526114731,563858,77339,0.0306603773584906,0.00707547169811321,0.0346240986283315
"117","0500000US12001","Alachua County, Florida",0.387238133146082,266309,49534,0.0263157894736842,0,0.0343518087960512
"118","0500000US12117","Seminole County, Florida",0.395027236328357,462801,70190,0.0363636363636364,0,0.0338339833537324
"119","0500000US01101","Montgomery County, Alabama",0.661302884298066,227265,53117,0.0104895104895105,0.00524475524475525,0.0333733216793669
"120","0500000US18157","Tippecanoe County, Indiana",0.239316105209755,191199,49352,0.016109785202864,0.00775656324582339,0.0325709637003084
"121","0500000US09015","Windham County, Connecticut",0.172004673619822,116398,62106,0.0314064633591261,0.00773782430587164,0.0325305405522154
"122","0500000US01097","Mobile County, Alabama",0.429612723254719,414045,49639,0.0174149659863946,0.00299319727891156,0.032107330514277
"123","0500000US36063","Niagara County, New York",0.144587570192745,210848,56304,0.0257675438596491,0.00904605263157895,0.0307778961954151
"124","0500000US39093","Lorain County, Ohio",0.21691966913977,307441,58686,0.0248618784530387,0.00621546961325967,0.0307530151861235
"125","0500000US34039","Union County, New Jersey",0.593880354329431,554738,80339,0.0196926749216769,0.00537072952409369,0.0303341306682028
"126","0500000US17167","Sangamon County, Illinois",0.195928391653812,197072,61280,0.0220492866407263,0.00907911802853437,0.0301776066361158
"127","0500000US21037","Campbell County, Kentucky",0.0763474665690476,92878,66439,0.0687022900763359,0,0.029688823598558
"128","0500000US36117","Wayne County, New York",0.0995808866624645,90429,61730,0.0411931818181818,0.00710227272727273,0.0294259987856074
"129","0500000US20161","Riley County, Kansas",0.23101774875975,73977,50920,0.029810298102981,0,0.0292380325371116
"130","0500000US21117","Kenton County, Kentucky",0.115199748804406,165608,68849,0.036144578313253,0.0103270223752151,0.0290946732498166
"131","0500000US08101","Pueblo County, Colorado",0.478196809054443,166283,51276,0.0205761316872428,0,0.0288337066785263
"132","0500000US42029","Chester County, Pennsylvania",0.204339556100297,518901,102016,0.0426264800861141,0.00990312163616792,0.0287453604408031
"133","0500000US39101","Marion County, Ohio",0.116110394000861,65076,50608,0.0247718383311604,0.00782268578878748,0.0282767994749297
"134","0500000US36053","Madison County, New York",0.0678300583575315,70942,62918,0.0452488687782805,0.0101809954751131,0.0282201593782903
"135","0500000US18089","Lake County, Indiana",0.457256588409846,484601,57081,0.013986013986014,0.00445009535918627,0.0281714848683994
"136","0500000US36101","Steuben County, New York",0.0629306766293067,96360,52951,0.0342741935483871,0.0114247311827957,0.0281203405682991
"137","0500000US12035","Flagler County, Florida",0.249574996136328,109999,60204,0.0323741007194245,0,0.027913895629257
"138","0500000US36051","Livingston County, New York",0.0915363168092245,63483,59173,0.0336817653890825,0.00929152148664344,0.0277670689304293
"139","0500000US26065","Ingham County, Michigan",0.30334088994514,292018,54395,0.0166767738023044,0.00485142510612492,0.027753812238596
"140","0500000US12086","Miami-Dade County, Florida",0.866753154375031,2713295,55171,0.0124392262335782,0.00157753180924796,0.0273432421889056
"141","0500000US12073","Leon County, Florida",0.433141443128899,290965,54929,0.0217669654289373,0,0.0270993336341413
"142","0500000US55117","Sheboygan County, Wisconsin",0.157877816298691,115089,60706,0.0261818181818182,0.00654545454545455,0.0267096100065667
"143","0500000US42129","Westmoreland County, Pennsylvania",0.061001801105663,352006,59073,0.040407358738502,0.0101839684625493,0.0264032221472832
"144","0500000US42091","Montgomery County, Pennsylvania",0.241056989966068,824303,92302,0.0285231116121759,0.00958286358511838,0.0263580360796181
"145","0500000US22073","Ouachita Parish, Louisiana",0.41822755244127,155841,41137,0.0160919540229885,0,0.0262863347288549
"146","0500000US37085","Harnett County, North Carolina",0.384848370406737,132395,55753,0.0141843971631206,0.00425531914893617,0.0262394663218367
"147","0500000US37155","Robeson County, North Carolina",0.74802075007917,132626,35035,0.0101892285298399,0,0.0261362665813184
"148","0500000US17091","Kankakee County, Illinois",0.279627284240999,110540,60923,0.0167448091091762,0.00602813127930342,0.0259755460949555
"149","0500000US39145","Scioto County, Ohio",0.0659945245867116,75976,45571,0.0277502477700694,0.00792864222001982,0.0255431498481896
"150","0500000US36011","Cayuga County, New York",0.0982738809920343,77457,58665,0.034618410700236,0.00550747442958301,0.0253378621494248
"151","0500000US25011","Franklin County, Massachusetts",0.0920897953402734,70605,60018,0.0342516753536858,0.00670141474311243,0.0250366226294485
"152","0500000US09003","Hartford County, Connecticut",0.386933474866641,893076,75381,0.0174552876094312,0.00580052634405715,0.0249140721510931
"153","0500000US51003","Albemarle County, Virginia",0.230346670625789,107768,86399,0.043046357615894,0,0.0248465566394921
"154","0500000US09011","New London County, Connecticut",0.241355326285716,267419,75633,0.0201646090534979,0.00781893004115226,0.0241644905172102
"155","0500000US39063","Hancock County, Ohio",0.107840943493083,75973,60944,0.0429906542056075,0,0.0240703544432686
"156","0500000US34023","Middlesex County, New Jersey",0.568334576238,827363,93418,0.0194101336022183,0.00462146038148055,0.0240264687153057
